"Reference","Value","Footprint","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","Qty","Part Name"
"C1,C6,C7,C8","100n","Capacitor_SMD:C_0805_2012Metric","","","","","4","C_100.0nF_0805_20%"
"C2,C3,C4,C5","10u","Capacitor_SMD:C_0805_2012Metric","","","","","4","C_10.0uF_16V_X7R_10%_0805"
"D1,D2","PESD3V3L1BAF","Diode_SMD:D_SOD-323","","","","","2","D_TVS_PESD3V_SOD323"
"D3,D4,D5,D6","TZMB16-GS08","Diode_SMD:D_MiniMELF","","","","","4","D_Z_16V_miniMELF"
"D7","Red","LED_SMD:LED_0805_2012Metric","","","","","1","D_LED_Rood_0805 "
"D8,D9,D10","LL4148","Diode_SMD:D_MiniMELF","","","","","3","D_1N4148_miniMELF "
"J1,J2,J4","Conn_01x02_Socket","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","","","","","3","H_Plug_2P_3.81MM_PCB_VERT"
"J3","Conn_01x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","","","","","1","H_Female_1x40_vertical_THT"
"Q1","AOSP66923","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","","","","1","U_AOSP66923"
"Q2","IRFP250M","Package_TO_SOT_THT:TO-247-3_Vertical","","","","","1","Q_IRFP250MPBF "
"Q3","MMBT3906","Package_TO_SOT_SMD:SOT-23","","","","","1","Q_MMBT3906 "
"Q4","2N7002","Package_TO_SOT_SMD:SOT-23","","","","","1","Q_2N7002"
"R1,R3,R4","1M","Resistor_SMD:R_0805_2012Metric","","","","","3","R_1.0MΩ_0805_1%"
"R2,R10","100k","Resistor_SMD:R_0805_2012Metric","","","","","2","R_100.0kΩ_0805_1%"
"R6,R7,R8,R9,R11,R13,R14,R20","10k","Resistor_SMD:R_0805_2012Metric","-- mixed values --","","","","8","R_10.0kΩ_0805_1%"
"R12","180k","Resistor_SMD:R_0805_2012Metric","","","","","1","R_180.0kΩ_0805_1%"
"R19","100","Resistor_SMD:R_0805_2012Metric","","","","","1","R_100.0Ω_0805_1%"
"R21","2k2","Resistor_SMD:R_0805_2012Metric","","","","","1","R_2.2kΩ_0805_1%"
"U1","LM393","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","","","","1","U_LM393 "
